name,context,code,level,type,extract,rel,year,label,entitys
随县,"[湖北省, 随州市]",421321.0,3.0,add,2009 年 随县 获 国务院 批准 设立 现 随州市 曾都区 市政府 所在地 区划 划出 19 乡镇 成立 随县 县城 驻厉 山镇     2009 年 月 国务院 批准 设立 随县 随州市 曾都区 乡镇 随县 行政区域 月 29 日 随县 正式 成立     2009 年 设立 随县 原 曾都区 厉山 高城 殷店 草店 小林 淮河 万 吴山 唐县 尚市 新街 安居 澴 潭 洪山 长岗 三里 岗 柳林 均川 万福 19 镇 划归 随县 管辖 随县 人民政府 驻厉 山镇,新增县／市／区,2008-2009,OOOO O XX O OOO OO OO O XXX XXX OOO OOO OO OO OO OO OO XX OO OO OO     OOOO O O OOO OO OO XX XXX XXX OO XX OOOO O OO O XX OO OO     OOOO O OO XX O XXX OO OO OO OO OO OO O OO XX OO OO OO O O OO OO OO O OO OO OO OO O OO XX OO XX OOOO OO OO,"[随县, 随州市, 曾都区, 唐县]"
南汇区,"[上海市, 南汇区]",310119.0,2.0,del,2009 年 月 国务院 批复 同意 撤销 南汇区 行政区域 整体 并入 浦东新区,合并,2008-2009,OOOO O O OOO OO OO OO XXX OOOO OO OO XXXX,"[浦东新区, 南汇区]"
塘沽区,"[天津市, 塘沽区]",120107.0,2.0,del,2009 年 11 月 撤区 并入 天津市 滨海新区,合并,2008-2009,OOOO O OO O OO OO XXX XXXX,"[滨海新区, 天津市]"
汉沽区,"[天津市, 汉沽区]",120108.0,2.0,del,2009 年 10 月 21 日 滨海新区 汉沽 管委会 工委,合并,2008-2009,OOOO O OO O OO O XXXX OO OOO OO,[滨海新区]
大港区,"[天津市, 大港区]",120109.0,2.0,del,2009 年 10 月 21 日 国务院 批准 撤消 汉沽区 塘沽区 大港区 正式 合并 滨海新区 直属 天津市     人民网 天津 2009 年 11 月 日电 继 深圳经济特区 上海浦东新区 带动 区域 发展 新 经济 增长极 天津 滨 张 国务院 行政区划 调整 涉及 各类 机构 精简 统一 效能 原则 设置 严格执行 中央 厉行节约 国家 土地 管理 法规 政策 加大 区域 资源整合 力度 优化 总体布局 区域 经济社会 协调 健康 发展     2009 年 10 月 下旬 2010 年 月底 滨海新区 管理 体制改革 分为 五个 阶段 有序 推进     2009 年 11 月 中旬 2010 年 月 上旬 陆续 选举 第一届 区委 区 纪委 机构 区 人大常委会 区 政协常委会 人员 区政府 区长 副区长 区 法院院长 区 检察院 检察长,合并,2008-2009,OOOO O OO O OO O OOO OO OO XXX XXX XXX OO OO XXXX OO XXX     OOO OO OOOO O OO O OO O OOOOOO OOXXXX OO OO OO O OO OOO OO O O OOO OOOO OO OO OO OO OO OO OO OO OO OOOO OO OOOO OO OO OO OO OO OO OO OOOO OO OO OOOO OO OOOO OO OO OO     OOOO O OO O OO OOOO O OO XXXX OO OOOO OO OO OO OO OO     OOOO O OO O OO OOOO O O OO OO OO OOO OO O OO OO O OOOOO O OOOOO OO OOO OO OOO O OOOO O OOO OOO,"[塘沽区, 滨海新区, 汉沽区, 浦东新区, 大港区, 天津市]"
红寺堡区,"[宁夏回族自治区, 吴忠市]",640303.0,3.0,add,2009 年 月 30 日 国务院 国函 2009 122 号 批复 同意 设立 吴忠市 红寺堡区 吴忠市 红寺堡 镇 太阳 山镇 大河乡 南川 乡 行政区域 红寺堡区 行政区域 区 人民政府 驻 红寺堡 镇,新增县／市／区,2008-2009,OOOO O O OO O OOO OO OOOO OOO O OO OO OO XXX XXXX XXX OOO O OO OO OOO OO O OOOO XXXX OOOO O OOOO O OOO O,"[红寺堡区, 吴忠市]"
通州区,"[江苏省, 南通市]",320612.0,3.0,add,区域 地理坐标 北纬 39 ° 36 ′ 40 ° 02 ′ 东经 116 ° 32 ′ 116 ° 56 ′ 东西 宽 36.5 公里 南北 长 48 公里 面积 906 平方公里 2010 年 常住人口 129.8 万 区 人民政府 驻 北京市 新 华北 街 161 号,撤县（市）设区,2008-2009,OO OOOO OO OO O OO O OO O OO O OO OOO O OO O OOO O OO O OO O OOOO OO OO O OO OO OO OOO OOOO OOOO O OOOO OOOOO O O OOOO O XXX O OO O OOO O,[北京市]
通州市,"[江苏省, 南通市]",320683.0,3.0,del,2009 年 月 日 撤销 通州市 设立 南通市 通州区,撤县（市）设区,2008-2009,OOOO O O O OO XXX OO XXX XXX,"[通州市, 南通市, 通州区]"
滨海新区,"[天津市, 滨海新区]",120116.0,2.0,add,张 2009 年 月 12 日 天津市 滨海新区 总 投资 超过 1.5 万亿元 加快 推进 南港 工业区 于家堡 响螺湾 中心 商务区 东疆 保税 港区 十大 工程     2009 年 11 月 国务院 正式 批复 滨海新区 行政 体制改革 方案 同意 撤销 天津市 塘沽区 汉沽区 大港区 设立 天津市 滨海新区 以原 塘沽区 汉沽区 大港区 行政区域 滨海新区 行政区域,合并,2008-2009,O OOOO O O OO O XXX XXXX O OO OO OOO OOO OO OO OO OOO OOO OOO OO OOO OO OO OO OO OO     OOOO O OO O OOO OO OO XXXX OO OOOO OO OO OO XXX XXX XXX XXX OO XXX XXXX OO XXX XXX XXX OOOO XXXX OOOO,"[滨海新区, 天津市, 汉沽区, 塘沽区, 大港区]"
八道江区,"[吉林省, 白山市]",220602.0,3.0,just_name_change,2010 年 月 22 日 民政部 吉林省 白山市 八道江区 更名 浑江区 批复 民函 2010 40 号 国务院 批准 同意 白山市 八道江区 更名 浑江区,更名,2009-2010,OOOO O O OO O OOO XXX XXX XXXX OO XXX OO OO OOOO OO O OOO OO OO XXX XXXX OO XXX,"[白山市, 八道江区, 吉林省, 浑江区]"
