name,context,code,level,type,extract,rel,year
随县,"[湖北省, 随州市]",421321.0,3.0,add,2009 年 随县 获 国务院 批准 设立 现 随州市 曾都区 市政府 所在地 区划 划出 19 乡镇 成立 随县 县城 驻厉 山镇     2009 年 月 国务院 批准 设立 随县 随州市 曾都区 乡镇 随县 行政区域 月 29 日 随县 正式 成立     2009 年 设立 随县 原 曾都区 厉山 高城 殷店 草店 小林 淮河 万 吴山 唐县 尚市 新街 安居 澴 潭 洪山 长岗 三里 岗 柳林 均川 万福 19 镇 划归 随县 管辖 随县 人民政府 驻厉 山镇,新增县／市／区,2008-2009
南汇区,"[上海市, 南汇区]",310119.0,2.0,del,2009 年 月 国务院 批复 同意 撤销 南汇区 行政区域 整体 并入 浦东新区,合并,2008-2009
塘沽区,"[天津市, 塘沽区]",120107.0,2.0,del,2009 年 11 月 撤区 并入 天津市 滨海新区,合并,2008-2009
汉沽区,"[天津市, 汉沽区]",120108.0,2.0,del,2009 年 10 月 21 日 滨海新区 汉沽 管委会 工委,合并,2008-2009
大港区,"[天津市, 大港区]",120109.0,2.0,del,2009 年 10 月 21 日 国务院 批准 撤消 汉沽区 塘沽区 大港区 正式 合并 滨海新区 直属 天津市     人民网 天津 2009 年 11 月 日电 继 深圳经济特区 上海浦东新区 带动 区域 发展 新 经济 增长极 天津 滨 张 国务院 行政区划 调整 涉及 各类 机构 精简 统一 效能 原则 设置 严格执行 中央 厉行节约 国家 土地 管理 法规 政策 加大 区域 资源整合 力度 优化 总体布局 区域 经济社会 协调 健康 发展     2009 年 10 月 下旬 2010 年 月底 滨海新区 管理 体制改革 分为 五个 阶段 有序 推进     2009 年 11 月 中旬 2010 年 月 上旬 陆续 选举 第一届 区委 区 纪委 机构 区 人大常委会 区 政协常委会 人员 区政府 区长 副区长 区 法院院长 区 检察院 检察长,合并,2008-2009
红寺堡区,"[宁夏回族自治区, 吴忠市]",640303.0,3.0,add,2009 年 月 30 日 国务院 国函 2009 122 号 批复 同意 设立 吴忠市 红寺堡区 吴忠市 红寺堡 镇 太阳 山镇 大河乡 南川 乡 行政区域 红寺堡区 行政区域 区 人民政府 驻 红寺堡 镇,新增县／市／区,2008-2009
通州区,"[江苏省, 南通市]",320612.0,3.0,add,区域 地理坐标 北纬 39 ° 36 ′ 40 ° 02 ′ 东经 116 ° 32 ′ 116 ° 56 ′ 东西 宽 36.5 公里 南北 长 48 公里 面积 906 平方公里 2010 年 常住人口 129.8 万 区 人民政府 驻 北京市 新 华北 街 161 号,撤县（市）设区,2008-2009
通州市,"[江苏省, 南通市]",320683.0,3.0,del,2009 年 月 日 撤销 通州市 设立 南通市 通州区,撤县（市）设区,2008-2009
滨海新区,"[天津市, 滨海新区]",120116.0,2.0,add,张 2009 年 月 12 日 天津市 滨海新区 总 投资 超过 1.5 万亿元 加快 推进 南港 工业区 于家堡 响螺湾 中心 商务区 东疆 保税 港区 十大 工程     2009 年 11 月 国务院 正式 批复 滨海新区 行政 体制改革 方案 同意 撤销 天津市 塘沽区 汉沽区 大港区 设立 天津市 滨海新区 以原 塘沽区 汉沽区 大港区 行政区域 滨海新区 行政区域,合并,2008-2009
八道江区,"[吉林省, 白山市]",220602.0,3.0,just_name_change,2010 年 月 22 日 民政部 吉林省 白山市 八道江区 更名 浑江区 批复 民函 2010 40 号 国务院 批准 同意 白山市 八道江区 更名 浑江区,更名,2009-2010
铜山区,"[江苏省, 徐州市]",320312.0,3.0,add,2010 年 铜山县 改为 铜山区,撤县（市）设区,2009-2010
宣武区,"[北京市, 宣武区]",110104.0,2.0,del,2010 年 月 国务院 批复 同意 撤销 北京市 西城区 宣武区 设立 新 北京市 西城区 以原 西城区 宣武区 行政区域 西城区 行政区域,合并,2009-2010
崇文区,"[北京市, 崇文区]",110103.0,2.0,del,2010 年 国务院 正式 批复 北京市政府 调整 首都 功能 核心区 行政区划 请示 同意 撤销 北京市 崇文区 东城区 设立 新 东城区 以原 崇文区 东城区 行政区域 新 东城区 行政区域,合并,2009-2010
文山市,"[云南省, 文山壮族苗族自治州]",532601.0,3.0,add,2010 年 12 月 日 国务院 批准 同意 撤销 文山县 设立 文山市,撤县设市,2009-2010
文山县,"[云南省, 文山壮族苗族自治州]",532621.0,3.0,del,2010 年 12 月 日 国务院 批准 同意 撤销 文山县 设立 文山市,撤县设市,2009-2010
潞西市,"[云南省, 德宏傣族景颇族自治州]",533103.0,3.0,just_name_change,公元 2010 年 07 月 潞西市 更名 芒市,更名,2009-2010
铜山县,"[江苏省, 徐州市]",320323.0,3.0,del,2010 年 铜山县 改为 铜山区,更名,2009-2010
襄阳区,"[湖北省, 襄樊市]",420607.0,3.0,just_name_change,2010 年 12 月 日 国务院 批复 同意 湖北省 襄樊市 更名 襄阳市,更名,2009-2010
襄樊市,"[湖北省, 襄樊市]",420600.0,3.0,just_name_change,2010 年 12 月 日 正式 更名 湖北省 襄阳市 地级市,更名,2009-2010
威宁彝族回族苗族自治县,"[贵州省, 毕节地区]",522427.0,3.0,del,2013 年 月 日起 威宁彝族回族苗族自治县 贵州省 直管 试点,新增县／市／区,2010-2011
纳雍县,"[贵州省, 毕节地区]",522426.0,3.0,del,1950 年 隶属 毕节 专区 1970 年 隶属 毕节地区 2011 年 毕节地区 升级 毕节市 隶属于 毕节市,-,2010-2011
织金县,"[贵州省, 毕节地区]",522425.0,3.0,del,2011 年底 撤销 毕节地区 县级 毕节市 设立 地级 毕节市 织金县 属 毕节市,-,2010-2011
思南县,"[贵州省, 铜仁市]",520624.0,3.0,add,1949 年 隶属 铜仁 专区 1970 年 属 铜仁地区 2011 年 11 月 属 铜仁市,-,2010-2011
毕节市,"[贵州省, 毕节地区]",522401.0,3.0,del,2011 年 国务院 批准 撤销 毕节地区 设立 地级 毕节市,撤地区设市,2010-2011
毕节地区,"[贵州省, 毕节地区]",522400.0,3.0,del,2011 年 国务院 批准 撤销 毕节地区 设立 地级 毕节市,撤地区设市,2010-2011
南溪区,"[四川省, 宜宾市]",511503.0,3.0,add,2011 年 省 人民政府 同意 撤销 南溪县 设立 宜宾市 南溪区,撤县（市）设区,2010-2011
铜仁市,"[贵州省, 铜仁市]",520600.0,3.0,add,2011 年 10 月 22 日 撤消 铜仁地区 设 地级 铜仁市 撤消 原 县级 铜仁市 设 碧江区 以原 县级 铜仁市 行政区域 新 碧江区 行政区域 撤消 万山特区 设 铜仁市 万山区,撤地区设市,2010-2011
万山区,"[贵州省, 铜仁市]",520603.0,3.0,add,2011 年 11 月 国务院 批复 同意 撤销 铜仁地区 设立 地级 铜仁市 设立 万山区,新增县／市／区,2010-2011
望城区,"[湖南省, 长沙市]",430112.0,3.0,add,2011 年 月 撤销 湖南省 望城县 设立 长沙市 望城区 以原 望城县 行政区域 长沙市 望城区 行政区域,撤县（市）设区,2010-2011
万山特区,"[贵州省, 铜仁地区]",522230.0,3.0,del,2011 年 11 月 国务院 批复 同意 撤销 铜仁地区 设立 地级 铜仁市 设立 万山区,新增县／市／区,2010-2011
铜仁地区,"[贵州省, 铜仁地区]",522200.0,3.0,del,2011 年 10 月 22 日 撤消 铜仁地区 设 地级 铜仁市 撤消 原 县级 铜仁市 设 碧江区 以原 县级 铜仁市 行政区域 新 碧江区 行政区域 撤消 万山特区 设 铜仁市 万山区,撤地区设市,2010-2011
綦江县,"[重庆市, 綦江县]",500222.0,2.0,del,2011 年 10 月 撤销 重庆 万盛区 綦江县 设立 綦江区,合并,2010-2011
大足县,"[重庆市, 大足县]",500225.0,2.0,del,2011 年 10 月 国务院 批准 重庆市 撤销 双桥区 大足县 设立 大足区,合并,2010-2011
双桥区,"[重庆市, 双桥区]",500111.0,2.0,just_name_change,二十一 世纪 2011 年 10 月 24 日经 国务院 同意 重庆市 调整 行政区划 批复 国函 2011 129 号 文件 批准 10 月 27 日 重庆市 三届 人大常委会 第二十七次 会议 表决 重庆市 人民代表大会常务委员会 设立 大足区 撤销 大足县 双桥区 大足县 双桥区 合并 成立 新 大足区 大足区 原 重庆市 双桥区 行政 代码 500111 邮政编码 400900 重庆市 人民政府 开设 重庆市 双桥 经济 技术开发区 简称 经开区 派出机构 重庆市 双桥 经济 技术开发区 管理 委员会 管理 双桥 经开区 市政 基建 城市规划 统筹 发展 民生 事宜,合并,2010-2011
万盛区,"[重庆市, 万盛区]",500110.0,2.0,just_name_change,2011 年 11 月 设立 重庆市 万盛 经济 技术开发区,新增县／市／区,2010-2011
